(fromNodeId, toNodeId), shortestPathDistance, sumOfNeighbors, sumOfPapers, coAuthorOrNot
(0, 1), 1, 2, 1, 1
(0, 2), 1, 2, 1, 1
(0, 24), 2, 2, 0, 0
(0, 215), 2, 2, 0, 0
(1, 0), 1, 2, 1, 1
(1, 2), 1, 3, 1, 1
(1, 24), 2, 3, 0, 0
(1, 215), 1, 2, 1, 1
(2, 0), 1, 2, 1, 1
(2, 1), 1, 3, 1, 1
(2, 24), 1, 2, 1, 1
(2, 215), 2, 3, 0, 0
(4, 5), 2, 3, 2, 1
(4, 6), 1, 3, 1, 1
(4, 35), 1, 4, 1, 1
(4, 36), 1, 3, 1, 1
(4, 212), 2, 4, 0, 0
(5, 4), 2, 3, 2, 1
(5, 6), 1, 1, 1, 1
(5, 35), 3, 4, 0, 0
(5, 36), 3, 3, 0, 0
(5, 212), 4, 3, 0, 0
(6, 4), 1, 3, 1, 1
(6, 5), 1, 1, 1, 1
(6, 35), 2, 4, 0, 0
(6, 36), 2, 3, 0, 0
(6, 212), 3, 3, 0, 0
(7, 8), 2, 2, 2, 1
(7, 9), 2, 2, 2, 1
(7, 149), 1, 2, 1, 1
(8, 7), 2, 2, 2, 1
(8, 9), 2, 1, 2, 1
(8, 149), 3, 2, 0, 0
(9, 7), 2, 2, 2, 1
(9, 8), 2, 1, 2, 1
(9, 149), 3, 2, 0, 0
(10, 11), 1, 2, 1, 1
(10, 12), 1, 7, 1, 1
(10, 13), 1, 2, 1, 1
(10, 228), 2, 7, 0, 0
(10, 229), 2, 7, 0, 0
(10, 230), 2, 7, 0, 0
(10, 231), 2, 7, 0, 0
(10, 232), 2, 7, 0, 0
(11, 10), 1, 2, 1, 1
(11, 12), 1, 7, 1, 1
(11, 13), 1, 2, 1, 1
(11, 228), 2, 7, 0, 0
(11, 229), 2, 7, 0, 0
(11, 230), 2, 7, 0, 0
(11, 231), 2, 7, 0, 0
(11, 232), 2, 7, 0, 0
(12, 10), 1, 7, 1, 1
(12, 11), 1, 7, 1, 1
(12, 13), 1, 7, 1, 1
(12, 228), 1, 7, 1, 1
(12, 229), 1, 7, 1, 1
(12, 230), 1, 7, 1, 1
(12, 231), 1, 7, 1, 1
(12, 232), 1, 7, 1, 1
(13, 10), 1, 2, 1, 1
(13, 11), 1, 2, 1, 1
(13, 12), 1, 7, 1, 1
(13, 228), 2, 7, 0, 0
(13, 229), 2, 7, 0, 0
(13, 230), 2, 7, 0, 0
(13, 231), 2, 7, 0, 0
(13, 232), 2, 7, 0, 0
(14, 91), 1, 3, 1, 1
(14, 92), 1, 3, 1, 1
(14, 93), 1, 3, 1, 1
(14, 94), 1, 3, 1, 1
(15, 16), 1, 0, 1, 1
(16, 15), 1, 0, 1, 1
(17, 18), 1, 1, 1, 1
(17, 19), 1, 1, 1, 1
(18, 17), 1, 1, 1, 1
(18, 19), 1, 1, 1, 1
(19, 17), 1, 1, 1, 1
(19, 18), 1, 1, 1, 1
(20, 21), 1, 1, 1, 1
(20, 201), 2, 1, 0, 0
(21, 20), 1, 1, 1, 1
(21, 201), 1, 1, 1, 1
(22, 23), 2, 0, 2, 1
(23, 22), 2, 0, 2, 1
(24, 0), 2, 2, 0, 0
(24, 1), 2, 3, 0, 0
(24, 2), 1, 2, 1, 1
(24, 215), 3, 2, 0, 0
(26, 27), 1, 10, 1, 1
(26, 28), 1, 11, 1, 1
(26, 79), 1, 10, 1, 1
(26, 80), 1, 10, 1, 1
(26, 81), 1, 10, 1, 1
(26, 82), 1, 11, 1, 1
(26, 103), 2, 11, 0, 0
(26, 240), 1, 10, 1, 1
(26, 241), 1, 10, 1, 1
(26, 242), 1, 10, 1, 1
(26, 243), 1, 10, 1, 1
(26, 244), 1, 11, 1, 1
(26, 256), 2, 11, 0, 0
(26, 3337), 2, 11, 0, 0
(27, 26), 1, 10, 1, 1
(27, 28), 1, 2, 1, 1
(27, 79), 2, 5, 0, 0
(27, 80), 2, 5, 0, 0
(27, 81), 2, 5, 0, 0
(27, 82), 2, 6, 0, 0
(27, 103), 2, 2, 0, 0
(27, 240), 2, 6, 0, 0
(27, 241), 2, 6, 0, 0
(27, 242), 2, 6, 0, 0
(27, 243), 2, 6, 0, 0
(27, 244), 2, 7, 0, 0
(27, 256), 3, 3, 0, 0
(27, 3337), 3, 3, 0, 0
(28, 26), 1, 11, 1, 1
(28, 27), 1, 2, 1, 1
